time;I
20:55:07:193;1482.00
20:55:07:384;1480.00
20:55:07:578;1478.00
20:55:07:768;1480.00
20:55:07:961;1479.00
20:55:08:153;1480.00
20:55:08:349;1479.00
20:55:08:542;1480.00
20:55:08:749;1478.00
20:55:08:929;1477.00
20:55:09:123;1478.00
20:55:09:309;1477.00
20:55:09:507;1477.00
20:55:09:697;1477.00
20:55:09:888;1478.00
20:55:10:079;1479.00
20:55:10:273;1477.00
20:55:10:462;1476.00
20:55:10:665;1478.00
20:55:10:852;1477.00
20:55:11:052;1476.00
20:55:11:238;1474.00
20:55:11:429;1475.00
20:55:11:624;1474.00
20:55:11:819;1475.00
20:55:12:010;1476.00
20:55:12:206;1476.00
20:55:12:397;1478.00
20:55:12:597;1478.00
20:55:12:785;1478.00
20:55:12:989;1476.00
20:55:13:176;1476.00
20:55:13:371;1475.00
20:55:13:573;1477.00
20:55:13:748;1477.00
20:55:13:941;1477.00
20:55:14:132;1474.00
20:55:14:325;1472.00
20:55:14:517;1471.00
20:55:14:716;1472.00
20:55:14:902;1472.00
20:55:15:101;1469.00
20:55:15:299;1467.00
20:55:15:497;1467.00
20:55:15:681;1467.00
20:55:15:869;1468.00
20:55:16:062;1465.00
20:55:16:256;1465.00
20:55:16:449;1464.00
20:55:16:642;1462.00
20:55:16:836;1463.00
20:55:17:029;1464.00
20:55:17:221;1465.00
20:55:17:411;1466.00
20:55:17:609;1468.00
20:55:17:815;1470.00
20:55:17:982;1471.00
20:55:18:174;1472.00
20:55:18:369;1470.00
20:55:18:560;1470.00
20:55:18:752;1472.00
20:55:18:946;1470.00
20:55:19:135;1469.00
20:55:19:331;1469.00
20:55:19:523;1469.00
20:55:19:722;1470.00
20:55:19:920;1470.00
20:55:20:099;1470.00
20:55:20:289;1470.00
20:55:20:486;1469.00
20:55:20:675;1468.00
20:55:20:866;1469.00
20:55:21:063;1470.00
20:55:21:258;1470.00
20:55:21:449;1470.00
20:55:21:645;1469.00
20:55:21:838;1470.00
20:55:22:024;1470.00
20:55:22:222;1469.00
20:55:22:410;1470.00
20:55:22:601;1470.00
20:55:22:792;1469.00
20:55:22:987;1469.00
20:55:23:177;1469.00
20:55:23:370;1469.00
20:55:23:563;1467.00
20:55:23:760;1469.00
20:55:23:960;1468.00
20:55:24:169;1468.00
20:55:24:335;1467.00
20:55:24:532;1466.00
20:55:24:726;1469.00
20:55:24:918;1469.00
20:55:25:110;1469.00
20:55:25:300;1469.00
20:55:25:496;1468.00
20:55:25:690;1467.00
20:55:25:881;1468.00
20:55:26:078;1465.00
20:55:26:268;1465.00
20:55:26:472;1464.00
20:55:26:653;1464.00
20:55:26:839;1461.00
20:55:27:033;1462.00
20:55:27:225;1460.00
20:55:27:423;1457.00
20:55:27:610;1457.00
20:55:27:807;1457.00
20:55:27:998;1460.00
20:55:28:191;1465.00
20:55:28:392;1465.00
20:55:28:573;1465.00
20:55:28:769;1466.00
20:55:28:963;1460.00
20:55:29:151;1460.00
20:55:29:345;1459.00
20:55:29:536;1459.00
20:55:29:733;1458.00
20:55:29:926;1460.00
20:55:30:113;1463.00
20:55:30:312;1464.00
20:55:30:508;1463.00
20:55:30:712;1464.00
20:55:30:892;1463.00
20:55:31:080;1466.00
20:55:31:273;1465.00
20:55:31:464;1466.00
20:55:31:661;1463.00
20:55:31:852;1464.00
20:55:32:047;1465.00
20:55:32:239;1465.00
20:55:32:426;1465.00
20:55:32:625;1463.00
20:55:32:820;1459.00
20:55:33:021;1457.00
20:55:33:223;1457.00
20:55:33:397;1457.00
20:55:33:584;1458.00
20:55:33:779;1454.00
20:55:33:972;1452.00
20:55:34:162;1453.00
20:55:34:354;1453.00
20:55:34:546;1453.00
20:55:34:742;1454.00
20:55:34:938;1452.00
20:55:35:132;1454.00
20:55:35:332;1454.00
20:55:35:513;1455.00
20:55:35:703;1454.00
20:55:35:894;1453.00
20:55:36:090;1453.00
20:55:36:279;1452.00
20:55:36:475;1453.00
20:55:36:667;1451.00
20:55:36:866;1451.00
20:55:37:063;1451.00
20:55:37:252;1451.00
20:55:37:446;1451.00
20:55:37:646;1451.00
20:55:37:827;1452.00
20:55:38:022;1451.00
20:55:38:215;1453.00
20:55:38:406;1453.00
20:55:38:598;1452.00
20:55:38:790;1451.00
20:55:38:986;1451.00
20:55:39:181;1451.00
20:55:39:372;1449.00
20:55:39:576;1450.00
20:55:39:775;1450.00
20:55:39:953;1448.00
20:55:40:141;1448.00
20:55:40:335;1450.00
20:55:40:525;1452.00
20:55:40:713;1453.00
20:55:40:908;1455.00
20:55:41:098;1457.00
20:55:41:294;1457.00
20:55:41:485;1457.00
20:55:41:682;1457.00
20:55:41:881;1456.00
20:55:42:061;1450.00
20:55:42:254;1448.00
20:55:42:443;1446.00
20:55:42:638;1447.00
20:55:42:829;1448.00
20:55:43:025;1450.00
20:55:43:216;1451.00
20:55:43:412;1451.00
20:55:43:607;1451.00
20:55:43:799;1452.00
20:55:43:997;1456.00
20:55:44:197;1455.00
20:55:44:397;1453.00
20:55:44:568;1451.00
20:55:44:760;1451.00
20:55:44:956;1450.00
20:55:45:146;1450.00
20:55:45:336;1453.00
20:55:45:528;1452.00
20:55:45:725;1452.00
20:55:45:918;1454.00
20:55:46:111;1452.00
20:55:46:310;1452.00
20:55:46:511;1452.00
20:55:46:710;1448.00
20:55:46:888;1449.00
20:55:47:082;1448.00
20:55:47:268;1449.00
20:55:47:458;1452.00
20:55:47:656;1450.00
20:55:47:848;1450.00
20:55:48:040;1453.00
20:55:48:237;1452.00
20:55:48:438;1453.00
20:55:48:618;1451.00
20:55:48:806;1448.00
20:55:48:998;1448.00
20:55:49:192;1446.00
20:55:49:385;1446.00
20:55:49:579;1446.00
20:55:49:769;1444.00
20:55:49:970;1446.00
20:55:50:160;1447.00
20:55:50:348;1451.00
20:55:50:541;1453.00
20:55:50:748;1453.00
20:55:50:924;1454.00
20:55:51:116;1454.00
20:55:51:309;1452.00
20:55:51:503;1452.00
20:55:51:695;1449.00
20:55:51:886;1449.00
20:55:52:077;1447.00
20:55:52:272;1447.00
20:55:52:464;1445.00
20:55:52:661;1445.00
20:55:52:863;1445.00
20:55:53:053;1445.00
20:55:53:237;1445.00
20:55:53:429;1446.00
20:55:53:620;1445.00
20:55:53:818;1440.00
20:55:54:011;1440.00
20:55:54:201;1439.00
20:55:54:396;1440.00
20:55:54:593;1439.00
20:55:54:788;1440.00
20:55:54:982;1439.00
20:55:55:175;1440.00
20:55:55:378;1445.00
20:55:55:577;1445.00
20:55:55:755;1445.00
20:55:55:944;1445.00
20:55:56:135;1445.00
20:55:56:327;1444.00
20:55:56:517;1444.00
20:55:56:712;1445.00
20:55:56:906;1445.00
20:55:57:101;1445.00
20:55:57:293;1445.00
20:55:57:491;1445.00
20:55:57:688;1445.00
20:55:57:869;1445.00
20:55:58:061;1444.00
20:55:58:258;1444.00
20:55:58:445;1442.00
20:55:58:641;1442.00
20:55:58:830;1443.00
20:55:59:022;1443.00
20:55:59:215;1443.00
20:55:59:409;1442.00
20:55:59:609;1442.00
20:55:59:799;1442.00
20:55:59:987;1440.00
20:56:00:180;1438.00
20:56:00:376;1439.00
20:56:00:565;1438.00
20:56:00:764;1440.00
20:56:00:954;1440.00
20:56:01:144;1440.00
20:56:01:343;1440.00
20:56:01:535;1439.00
20:56:01:728;1439.00
20:56:01:930;1439.00
20:56:02:108;1440.00
20:56:02:300;1439.00
20:56:02:490;1439.00
20:56:02:682;1437.00
20:56:02:872;1437.00
20:56:03:065;1438.00
20:56:03:257;1439.00
20:56:03:449;1441.00
20:56:03:646;1441.00
20:56:03:842;1441.00
20:56:04:041;1439.00
20:56:04:243;1439.00
20:56:04:420;1439.00
20:56:04:611;1439.00
20:56:04:805;1439.00
20:56:04:995;1437.00
20:56:05:191;1438.00
20:56:05:382;1439.00
20:56:05:576;1439.00
20:56:05:773;1439.00
20:56:05:968;1439.00
20:56:06:159;1436.00
20:56:06:352;1435.00
20:56:06:555;1436.00
20:56:06:735;1435.00
20:56:06:926;1433.00
20:56:07:117;1432.00
20:56:07:310;1433.00
20:56:07:502;1433.00
20:56:07:693;1433.00
20:56:07:885;1431.00
20:56:08:083;1432.00
20:56:08:279;1431.00
20:56:08:469;1433.00
20:56:08:668;1435.00
20:56:08:869;1435.00
20:56:09:047;1433.00
20:56:09:237;1433.00
20:56:09:431;1435.00
20:56:09:621;1435.00
20:56:09:810;1434.00
20:56:10:008;1434.00
20:56:10:199;1434.00
20:56:10:392;1434.00
20:56:10:587;1435.00
20:56:10:775;1435.00
20:56:10:967;1436.00
20:56:11:165;1435.00
20:56:11:356;1437.00
20:56:11:550;1437.00
20:56:11:745;1435.00
20:56:11:938;1435.00
20:56:12:132;1435.00
20:56:12:327;1436.00
20:56:12:524;1435.00
20:56:12:711;1435.00
20:56:12:908;1436.00
20:56:13:108;1436.00
20:56:13:290;1436.00
20:56:13:481;1436.00
20:56:13:674;1436.00
20:56:13:864;1436.00
20:56:14:054;1436.00
20:56:14:245;1436.00
20:56:14:438;1438.00
20:56:14:630;1437.00
20:56:14:823;1436.00
20:56:15:019;1435.00
20:56:15:220;1432.00
20:56:15:402;1432.00
20:56:15:591;1427.00
20:56:15:786;1425.00
20:56:15:974;1426.00
20:56:16:167;1425.00
20:56:16:355;1425.00
20:56:16:548;1424.00
20:56:16:744;1423.00
20:56:16:933;1423.00
20:56:17:131;1422.00
20:56:17:323;1424.00
20:56:17:514;1423.00
20:56:17:703;1423.00
20:56:17:891;1423.00
20:56:18:085;1419.00
20:56:18:278;1415.00
20:56:18:470;1414.00
20:56:18:661;1419.00
20:56:18:857;1423.00
20:56:19:048;1424.00
20:56:19:240;1426.00
20:56:19:437;1426.00
20:56:19:627;1424.00
20:56:19:815;1425.00
20:56:20:009;1423.00
20:56:20:206;1423.00
20:56:20:398;1423.00
20:56:20:594;1423.00
20:56:20:785;1424.00
20:56:20:987;1423.00
20:56:21:174;1423.00
20:56:21:374;1423.00
20:56:21:570;1423.00
20:56:21:753;1423.00
20:56:21:947;1423.00
20:56:22:133;1423.00
20:56:22:325;1423.00
20:56:22:516;1422.00
20:56:22:710;1423.00
20:56:22:903;1424.00
20:56:23:099;1424.00
20:56:23:290;1424.00
20:56:23:485;1424.00
20:56:23:676;1424.00
20:56:23:885;1424.00
20:56:24:084;1424.00
20:56:24:259;1422.00
20:56:24:454;1422.00
20:56:24:646;1422.00
20:56:24:842;1422.00
20:56:25:036;1424.00
20:56:25:227;1424.00
20:56:25:419;1422.00
20:56:25:612;1422.00
20:56:25:808;1424.00
20:56:25:999;1422.00
20:56:26:192;1422.00
20:56:26:399;1422.00
20:56:26:577;1422.00
20:56:26:764;1422.00
20:56:26:959;1422.00
20:56:27:153;1423.00
20:56:27:347;1422.00
20:56:27:540;1422.00
20:56:27:728;1422.00
20:56:27:922;1422.00
20:56:28:113;1422.00
20:56:28:308;1424.00
20:56:28:509;1422.00
20:56:28:709;1422.00
20:56:28:886;1422.00
20:56:29:078;1424.00
20:56:29:267;1422.00
20:56:29:457;1422.00
20:56:29:653;1421.00
20:56:29:846;1421.00
20:56:30:043;1420.00
20:56:30:233;1421.00
20:56:30:423;1422.00
20:56:30:617;1419.00
20:56:30:818;1417.00
20:56:31:004;1416.00
20:56:31:204;1416.00
20:56:31:388;1418.00
20:56:31:576;1415.00
20:56:31:769;765.00
20:56:31:963;668.00
20:56:32:157;701.00
20:56:32:348;694.00
20:56:32:544;1206.00
20:56:32:738;1495.00
20:56:32:930;1528.00
20:56:33:121;1519.00
20:56:33:313;1523.00
20:56:33:519;1461.00
20:56:33:701;1431.00
20:56:33:891;1429.00
20:56:34:084;1431.00
20:56:34:276;1430.00
20:56:34:468;1429.00
20:56:34:663;1429.00
20:56:34:855;1428.00
20:56:35:046;1427.00
20:56:35:242;1429.00
20:56:35:430;1427.00
20:56:35:625;1429.00
20:56:35:836;1428.00
20:56:36:010;1428.00
20:56:36:195;1429.00
20:56:36:392;1427.00
20:56:36:586;1428.00
20:56:36:777;1429.00
20:56:36:971;1431.00
20:56:37:166;1432.00
20:56:37:358;1432.00
20:56:37:552;1432.00
20:56:37:740;1431.00
20:56:37:945;1431.00
20:56:38:142;1431.00
20:56:38:319;1430.00
20:56:38:513;1431.00
20:56:38:705;1431.00
20:56:38:898;1429.00
20:56:39:088;1429.00
20:56:39:282;1429.00
20:56:39:474;1427.00
20:56:39:671;1425.00
20:56:39:859;1425.00
20:56:40:051;1423.00
20:56:40:242;1423.00
20:56:40:439;1422.00
20:56:40:631;1424.00
20:56:40:819;1424.00
20:56:41:011;1424.00
20:56:41:205;1426.00
20:56:41:397;1427.00
20:56:41:587;1426.00
20:56:41:787;1426.00
20:56:41:975;1426.00
20:56:42:169;1425.00
20:56:42:363;1423.00
20:56:42:568;1422.00
20:56:42:745;1418.00
20:56:42:941;1410.00
20:56:43:136;1405.00
20:56:43:325;1404.00
20:56:43:521;1407.00
20:56:43:713;1415.00
20:56:43:905;1421.00
20:56:44:102;1424.00
20:56:44:292;1424.00
20:56:44:485;1427.00
20:56:44:678;1426.00
20:56:44:871;1428.00
20:56:45:060;1427.00
20:56:45:253;1429.00
20:56:45:444;1429.00
20:56:45:640;1428.00
20:56:45:835;1425.00
20:56:46:023;1422.00
20:56:46:220;1423.00
20:56:46:411;1423.00
20:56:46:606;1424.00
20:56:46:800;1424.00
20:56:47:010;1422.00
20:56:47:189;1422.00
20:56:47:376;1423.00
20:56:47:569;1423.00
20:56:47:761;1423.00
20:56:47:951;1423.00
20:56:48:143;1424.00
20:56:48:333;1422.00
20:56:48:525;1424.00
20:56:48:719;1424.00
20:56:48:919;1424.00
20:56:49:121;1427.00
20:56:49:296;1425.00
20:56:49:491;1426.00
20:56:49:680;1426.00
20:56:49:872;1423.00
20:56:50:065;1422.00
20:56:50:260;1420.00
20:56:50:451;1421.00
20:56:50:644;1421.00
20:56:50:838;1419.00
20:56:51:032;1419.00
20:56:51:226;1419.00
20:56:51:415;1419.00
20:56:51:612;1419.00
20:56:51:800;1419.00
20:56:51:997;1420.00
20:56:52:185;1421.00
20:56:52:378;1421.00
20:56:52:566;1421.00
20:56:52:762;1420.00
20:56:52:954;1419.00
20:56:53:153;1419.00
20:56:53:336;1417.00
20:56:53:539;1416.00
20:56:53:725;1417.00
20:56:53:932;1416.00
20:56:54:106;1416.00
20:56:54:298;1419.00
20:56:54:486;1419.00
20:56:54:679;1418.00
20:56:54:873;1418.00
20:56:55:072;1419.00
20:56:55:263;1419.00
20:56:55:457;1418.00
20:56:55:657;1418.00
20:56:55:836;1417.00
20:56:56:032;1417.00
20:56:56:228;1417.00
20:56:56:416;1415.00
20:56:56:609;1415.00
20:56:56:802;1416.00
20:56:56:994;1416.00
20:56:57:189;1417.00
20:56:57:382;1417.00
20:56:57:577;1418.00
20:56:57:770;1417.00
20:56:57:969;1413.00
20:56:58:148;1413.00
20:56:58:343;1413.00
20:56:58:542;1413.00
20:56:58:725;1413.00
20:56:58:918;1413.00
20:56:59:109;1412.00
20:56:59:302;1413.00
20:56:59:494;1411.00
20:56:59:687;1411.00
20:56:59:878;1410.00
20:57:00:064;1414.00
20:57:00:260;1414.00
20:57:00:453;1414.00
20:57:00:648;1414.00
20:57:00:834;1414.00
20:57:01:026;1414.00
20:57:01:218;1412.00
20:57:01:410;1412.00
20:57:01:603;1413.00
20:57:01:795;1414.00
20:57:01:988;1412.00
20:57:02:183;1413.00
20:57:02:370;1411.00
20:57:02:561;1413.00
20:57:02:754;1413.00
20:57:02:948;1413.00
20:57:03:140;1413.00
20:57:03:333;1411.00
20:57:03:524;1412.00
20:57:03:715;1416.00
20:57:03:911;1416.00
20:57:04:108;1416.00
20:57:04:300;1416.00
20:57:04:503;1416.00
20:57:04:683;1416.00
20:57:04:871;1417.00
20:57:05:063;1417.00
20:57:05:260;1417.00
20:57:05:451;1416.00
20:57:05:645;1417.00
20:57:05:837;1417.00
20:57:06:029;1418.00
20:57:06:228;1416.00
20:57:06:412;1416.00
20:57:06:613;1416.00
20:57:06:815;1413.00
20:57:06:997;1413.00
20:57:07:185;1413.00
20:57:07:379;1413.00
20:57:07:572;1413.00
20:57:07:766;1413.00
20:57:07:957;1413.00
20:57:08:152;1414.00
20:57:08:345;1413.00
20:57:08:535;1413.00
20:57:08:728;1412.00
20:57:08:924;1412.00
20:57:09:126;1415.00
20:57:09:306;1415.00
20:57:09:497;1415.00
20:57:09:688;1415.00
20:57:09:884;1415.00
20:57:10:077;1414.00
20:57:10:268;1415.00
20:57:10:461;1414.00
20:57:10:657;1413.00
20:57:10:839;1414.00
20:57:11:035;1413.00
20:57:11:239;1413.00
20:57:11:419;1413.00
20:57:11:611;1412.00
20:57:11:803;1411.00
20:57:11:989;1411.00
20:57:12:184;1412.00
20:57:12:376;1411.00
20:57:12:574;1411.00
20:57:12:763;1413.00
20:57:12:953;1412.00
20:57:13:149;1413.00
20:57:13:349;1413.00
20:57:13:550;1411.00
20:57:13:724;1411.00
20:57:13:922;1411.00
20:57:14:113;1411.00
20:57:14:306;1412.00
20:57:14:499;1411.00
20:57:14:689;1412.00
20:57:14:882;1411.00
20:57:15:072;1411.00
20:57:15:269;1411.00
20:57:15:479;1411.00
20:57:15:657;1411.00
20:57:15:847;1411.00
20:57:16:041;1411.00
20:57:16:238;1409.00
20:57:16:432;1409.00
20:57:16:625;1410.00
20:57:16:818;1411.00
20:57:17:011;1409.00
20:57:17:206;1409.00
20:57:17:392;1410.00
20:57:17:589;1410.00
20:57:17:788;1409.00
20:57:17:990;1408.00
20:57:18:166;1409.00
20:57:18:358;1409.00
20:57:18:553;1409.00
20:57:18:748;1409.00
20:57:18:938;1409.00
20:57:19:132;1409.00
20:57:19:323;1407.00
20:57:19:518;1409.00
20:57:19:713;1409.00
20:57:19:902;1407.00
20:57:20:104;1409.00
20:57:20:305;1409.00
20:57:20:507;1409.00
20:57:20:678;1407.00
20:57:20:868;1408.00
20:57:21:063;1407.00
20:57:21:256;1407.00
20:57:21:448;1407.00
20:57:21:643;1407.00
20:57:21:836;1407.00
20:57:22:032;1406.00
20:57:22:223;1407.00
20:57:22:419;1407.00
20:57:22:615;1407.00
20:57:22:819;1407.00
20:57:22:987;1406.00
20:57:23:179;1406.00
20:57:23:370;1406.00
20:57:23:561;1405.00
20:57:23:752;1405.00
20:57:23:945;1405.00
20:57:24:138;1405.00
20:57:24:332;1405.00
20:57:24:520;1404.00
20:57:24:712;1405.00
20:57:24:910;1403.00
20:57:25:099;1404.00
20:57:25:291;1403.00
20:57:25:484;1403.00
20:57:25:676;1404.00
20:57:25:871;1405.00
20:57:26:065;1404.00
20:57:26:260;1404.00
20:57:26:456;1403.00
20:57:26:649;1402.00
20:57:26:843;1405.00
20:57:27:038;1403.00
20:57:27:239;1403.00
20:57:27:415;1404.00
20:57:27:616;1403.00
20:57:27:807;1401.00
20:57:28:002;1402.00
20:57:28:192;1402.00
20:57:28:385;1402.00
20:57:28:576;1402.00
20:57:28:772;1402.00
20:57:28:962;1403.00
20:57:29:158;1402.00
20:57:29:351;1402.00
20:57:29:554;1402.00
20:57:29:728;1402.00
20:57:29:925;1400.00
20:57:30:110;1400.00
20:57:30:303;1402.00
20:57:30:493;1400.00
20:57:30:685;1400.00
20:57:30:877;1400.00
20:57:31:072;1400.00
20:57:31:267;1401.00
20:57:31:468;1401.00
20:57:31:658;1401.00
20:57:31:846;1400.00
20:57:32:038;1399.00
20:57:32:236;1399.00
20:57:32:427;1400.00
20:57:32:621;1399.00
20:57:32:813;1399.00
20:57:33:005;1399.00
20:57:33:195;1396.00
20:57:33:385;1396.00
20:57:33:575;1396.00
20:57:33:767;1396.00
20:57:33:959;1395.00
20:57:34:160;1394.00
20:57:34:361;1396.00
20:57:34:542;1395.00
20:57:34:737;1395.00
20:57:34:929;1394.00
20:57:35:119;1395.00
20:57:35:310;1395.00
20:57:35:505;1395.00
20:57:35:697;1395.00
20:57:35:890;1394.00
20:57:36:082;1395.00
20:57:36:282;1395.00
20:57:36:469;1392.00
20:57:36:662;1393.00
20:57:36:854;1393.00
20:57:37:044;1392.00
20:57:37:236;1392.00
20:57:37:428;1392.00
20:57:37:622;1393.00
20:57:37:817;1393.00
20:57:38:005;1394.00
20:57:38:205;1392.00
20:57:38:405;1393.00
20:57:38:601;1394.00
20:57:38:782;1392.00
20:57:38:973;1391.00
20:57:39:166;1393.00
20:57:39:357;1393.00
20:57:39:548;1392.00
20:57:39:743;1392.00
20:57:39:938;1391.00
20:57:40:130;1393.00
20:57:40:323;1390.00
20:57:40:515;1390.00
20:57:40:712;1391.00
20:57:40:917;1390.00
20:57:41:090;1390.00
20:57:41:287;1390.00
20:57:41:475;1390.00
20:57:41:666;1390.00
20:57:41:861;1391.00
20:57:42:053;1390.00
20:57:42:248;1388.00
20:57:42:438;1389.00
20:57:42:637;1388.00
20:57:42:825;1388.00
20:57:43:025;1388.00
20:57:43:214;1388.00
20:57:43:409;1388.00
20:57:43:599;1388.00
20:57:43:785;1388.00
20:57:43:975;1388.00
20:57:44:166;1388.00
20:57:44:361;1390.00
20:57:44:553;1390.00
20:57:44:755;1390.00
20:57:44:941;1388.00
20:57:45:137;1389.00
20:57:45:338;1389.00
20:57:45:539;1388.00
20:57:45:710;1388.00
20:57:45:903;1382.00
20:57:46:102;1386.00
20:57:46:288;1386.00
20:57:46:480;1386.00
20:57:46:673;1388.00
20:57:46:866;1386.00
20:57:47:059;1388.00
20:57:47:255;1388.00
20:57:47:450;1388.00
20:57:47:645;1387.00
20:57:47:848;1387.00
20:57:48:028;1387.00
20:57:48:218;1387.00
20:57:48:412;1386.00
20:57:48:603;1384.00
20:57:48:798;1386.00
20:57:48:989;1384.00
20:57:49:183;1384.00
20:57:49:372;1384.00
20:57:49:566;1384.00
20:57:49:760;1384.00
20:57:49:958;1384.00
20:57:50:151;1384.00
20:57:50:346;1384.00
20:57:50:536;1384.00
20:57:50:727;1382.00
20:57:50:921;1384.00
20:57:51:110;1384.00
20:57:51:306;1384.00
20:57:51:494;1382.00
20:57:51:693;1383.00
20:57:51:880;1382.00
20:57:52:078;1381.00
20:57:52:283;1382.00
20:57:52:463;1382.00
20:57:52:653;1382.00
20:57:52:847;1383.00
20:57:53:039;1383.00
20:57:53:233;1383.00
20:57:53:423;1382.00
20:57:53:616;1383.00
20:57:53:811;1384.00
20:57:54:008;1385.00
20:57:54:193;1384.00
20:57:54:396;1384.00
20:57:54:597;1384.00
20:57:54:775;1384.00
20:57:54:969;1385.00
20:57:55:160;1384.00
20:57:55:349;1384.00
20:57:55:541;1383.00
20:57:55:737;1382.00
20:57:55:928;1383.00
20:57:56:126;1382.00
20:57:56:318;1381.00
20:57:56:512;1381.00
20:57:56:703;1383.00
20:57:56:892;1381.00
20:57:57:082;1381.00
20:57:57:275;1381.00
20:57:57:463;1381.00
20:57:57:660;1380.00
20:57:57:851;1381.00
20:57:58:043;1379.00
20:57:58:235;1381.00
20:57:58:433;1379.00
20:57:58:630;1380.00
20:57:58:821;1380.00
20:57:59:005;1380.00
20:57:59:202;1380.00
20:57:59:390;1379.00
20:57:59:581;1378.00
20:57:59:771;1378.00
20:57:59:964;1379.00
20:58:00:156;1377.00
20:58:00:352;1377.00
20:58:00:546;1379.00
20:58:00:736;1379.00
20:58:00:935;1378.00
20:58:01:132;1378.00
20:58:01:314;1378.00
20:58:01:501;1378.00
20:58:01:694;1377.00
20:58:01:886;1377.00
20:58:02:078;1377.00
20:58:02:273;1376.00
20:58:02:465;1375.00
20:58:02:654;1376.00
20:58:02:852;1376.00
20:58:03:044;1376.00
20:58:03:248;1378.00
20:58:03:447;1377.00
20:58:03:627;1377.00
20:58:03:823;1377.00
20:58:04:006;1377.00
20:58:04:197;1377.00
20:58:04:388;1376.00
20:58:04:583;1376.00
20:58:04:778;1377.00
20:58:04:970;1378.00
20:58:05:163;1376.00
20:58:05:355;1376.00
20:58:05:558;1377.00
20:58:05:760;1376.00
20:58:05:937;1376.00
20:58:06:125;1376.00
20:58:06:320;1372.00
20:58:06:511;1372.00
20:58:06:701;1370.00
20:58:06:893;1369.00
20:58:07:089;1369.00
20:58:07:276;1371.00
20:58:07:475;1373.00
20:58:07:672;1374.00
20:58:07:869;1373.00
20:58:08:072;1373.00
20:58:08:246;1373.00
20:58:08:438;1371.00
20:58:08:632;1371.00
20:58:08:823;1372.00
20:58:09:016;1373.00
20:58:09:209;1371.00
20:58:09:400;1371.00
20:58:09:589;1370.00
20:58:09:785;1369.00
20:58:09:983;1369.00
20:58:10:183;1371.00
20:58:10:385;1369.00
20:58:10:557;1369.00
20:58:10:750;1371.00
20:58:10:943;1371.00
20:58:11:137;1371.00
20:58:11:325;1369.00
20:58:11:519;1369.00
20:58:11:717;1369.00
20:58:11:906;1370.00
20:58:12:105;1369.00
20:58:12:297;1369.00
20:58:12:498;1369.00
20:58:12:697;1371.00
20:58:12:875;1370.00
20:58:13:065;1370.00
20:58:13:258;1369.00
20:58:13:452;1369.00
20:58:13:648;1369.00
20:58:13:841;1369.00
